,Vuosineljännes,Huoneluku,Neliöhinta (EUR/m2),Lukumäärä_x,Posti,Kaupunginosa_x,Kaupunki,Lukumäärä_y,Neliövuokra (eur/m2),Kaupunginosa_y,difference
6367,2022Q4,Yksiöt,3574.6,1,00980,Etelä-Vuosaari,Helsinki,266,24.41,Etelä-Vuosaari,146.44
6463,2022Q4,Yksiöt,5762.53,1,00990,Aurinkolahti,Helsinki,84,24.95,Aurinkolahti,230.96
6559,2022Q4,Yksiöt,2354.35,2,01200,Hakunila,Vantaa,124,21.62,Hakunila,108.9
6751,2022Q4,Yksiöt,3377.07,2,01280,Länsimäki,Vantaa,140,20.73,Länsimäki,162.91
6847,2022Q4,Yksiöt,5783.0,25,01300,Tikkurila,Vantaa,393,23.97,Tikkurila,241.26
7039,2022Q4,Yksiöt,4397.99,4,01350,Hiekkaharju,Vantaa,239,22.49,Hiekkaharju,195.55
7135,2022Q4,Yksiöt,2721.93,5,01360,Koivukylä-Havukoski,Vantaa,217,20.9,Koivukylä-Havukoski,130.24
7231,2022Q4,Yksiöt,5190.43,3,01400,Rekola,Vantaa,62,24.64,Rekola,210.65
7327,2022Q4,Yksiöt,4004.76,4,01450,Korso,Vantaa,181,20.06,Korso,199.64
7423,2022Q4,Yksiöt,3423.19,.,01480,Mikkola,Vantaa,70,20.1,Mikkola,170.31
7711,2022Q4,Yksiöt,3757.0,16,01600,Myyrmäki,Vantaa,425,23.17,Myyrmäki,162.15
7807,2022Q4,Yksiöt,3742.96,14,01610,Kaivoksela,Vantaa,224,23.97,Kaivoksela,156.15
7903,2022Q4,Yksiöt,3728.82,4,01620,Martinlaakso,Vantaa,452,25.64,Martinlaakso,145.43
8095,2022Q4,Yksiöt,2899.4,4,01650,Vapaala,Vantaa,30,20.84,Vapaala,139.13
8191,2022Q4,Yksiöt,4977.0,13,01700,Kivistö,Vantaa,214,25.09,Kivistö,198.37
8287,2022Q4,Yksiöt,4084.75,2,01710,Pähkinärinne,Vantaa,97,20.36,Pähkinärinne,200.63
8383,2022Q4,Yksiöt,6930.25,2,02100,Tapiola,Espoo,205,24.68,Tapiola,280.8
8479,2022Q4,Yksiöt,6660.16,1,02110,Otsolahti,Espoo,61,25.18,Otsolahti,264.5
8575,2022Q4,Yksiöt,7063.43,3,02120,Länsikorkee-Suvikumpu,Espoo,97,25.63,Länsikorkee-Suvikumpu,275.59
8863,2022Q4,Yksiöt,6114.1,2,02170,Haukilahti,Espoo,39,24.01,Haukilahti,254.65
8959,2022Q4,Yksiöt,5901.3,5,02200,Niittykumpu,Espoo,411,26.79,Niittykumpu,220.28
9055,2022Q4,Yksiöt,4268.91,2,02210,Olari,Espoo,151,23.12,Olari,184.64
9151,2022Q4,Yksiöt,4452.16,10,02230,Matinkylä,Espoo,234,23.11,Matinkylä,192.65
9343,2022Q4,Yksiöt,3554.0,9,02320,Espoonlahti,Espoo,253,20.9,Espoonlahti,170.05
9439,2022Q4,Yksiöt,3986.57,20,02330,Saunalahti-Kattilalaakso,Espoo,165,23.24,Saunalahti-Kattilalaakso,171.54
9535,2022Q4,Yksiöt,4081.59,4,02360,Soukka,Espoo,123,21.1,Soukka,193.44
9631,2022Q4,Yksiöt,5427.6,4,02600,Etelä-Leppävaara,Espoo,439,24.9,Etelä-Leppävaara,217.98
9919,2022Q4,Yksiöt,3949.0,3,02650,Pohjois-Leppävaara,Espoo,156,22.53,Pohjois-Leppävaara,175.28
10207,2022Q4,Yksiöt,3385.99,4,02720,Lähderanta,Espoo,80,23.4,Lähderanta,144.7
10303,2022Q4,Yksiöt,5020.49,.,02750,Sepänkylä-Kuurinniitty,Espoo,21,21.47,Sepänkylä-Kuurinniitty,233.84
10399,2022Q4,Yksiöt,3334.0,6,02760,Tuomarila-Suvela,Espoo,192,21.29,Tuomarila-Suvela,156.6
10495,2022Q4,Yksiöt,4368.87,1,02770,EspoonKeskus,Espoo,127,23.24,EspoonKeskus,187.99
10591,2022Q4,Yksiöt,4831.99,.,02780,Kauklahti,Espoo,.,21.72,Kauklahti,222.47
10687,2022Q4,Yksiöt,4288.73,2,02940,Lippajärvi-Järvenperä,Espoo,45,22.54,Lippajärvi-Järvenperä,190.27
10783,2022Q4,Yksiöt,4435.0,51,20100,TurkuKeskus,Turku,2086,19.02,TurkuKeskus,233.18
10879,2022Q4,Yksiöt,2944.67,5,20200,Iso-Heikkilä,Turku,158,17.19,Iso-Heikkilä,171.3
11167,2022Q4,Yksiöt,3976.74,1,20300,Pohjola-Kastu,Turku,223,18.73,Pohjola-Kastu,212.32
11263,2022Q4,Yksiöt,2807.98,5,20320,Kuninkoja-Mälikkälä,Turku,286,16.26,Kuninkoja-Mälikkälä,172.69
11359,2022Q4,Yksiöt,2311.31,2,20360,Runosmäki-Kärsämäki,Turku,202,16.31,Kärsämäki-Urusvuori-Halinen,141.71
11551,2022Q4,Yksiöt,4960.97,5,20500,Vesilinna,Turku,660,18.74,Vesilinna,264.73
11647,2022Q4,Yksiöt,6958.3,2,20520,Kupittaa,Turku,347,19.88,Kupittaa,350.02
11743,2022Q4,Yksiöt,3074.42,6,20540,Nummi-Ylioppilaskylä,Turku,345,17.46,Nummi-Ylioppilaskylä,176.08
11839,2022Q4,Yksiöt,1724.4,2,20610,Varissuo,Turku,221,16.07,Varissuo,107.31
11935,2022Q4,Yksiöt,4439.41,4,20700,Vartiovuori-Samppalinna,Turku,361,18.72,Vartiovuori-Samppalinna,237.15
12031,2022Q4,Yksiöt,3825.76,4,20720,Vasaramäki,Turku,213,17.7,Vasaramäki,216.14
12127,2022Q4,Yksiöt,2463.37,.,20740,Ilpoinen-Harittu,Turku,67,16.39,Ilpoinen-Harittu,150.3
12223,2022Q4,Yksiöt,1507.17,1,20750,Huhkola-Lauste-Vaala,Turku,52,14.73,Huhkola-Lauste-Vaala,102.32
12319,2022Q4,Yksiöt,4321.42,7,20810,Martti-Korppolaismäki,Turku,449,18.15,Martti-Korppolaismäki,238.09
12607,2022Q4,Yksiöt,5089.0,21,33100,TampereKeskus,Tampere,697,19.58,TampereKeskus,259.91
12703,2022Q4,Yksiöt,5173.0,7,33200,TampereKeskusLäntinen,Tampere,389,19.98,TampereKeskusLäntinen,258.91
12799,2022Q4,Yksiöt,4436.31,5,33210,Itä-Amuri-Tammerkoski,Tampere,504,20.39,Itä-Amuri-Tammerkoski,217.57
12895,2022Q4,Yksiöt,4173.0,8,33230,Länsi-Amuri,Tampere,146,18.67,Länsi-Amuri,223.51
12991,2022Q4,Yksiöt,3391.62,3,33240,Tahmela,Tampere,68,19.06,Tahmela,177.94
13087,2022Q4,Yksiöt,4652.68,5,33250,Pispala,Tampere,116,20.08,Pispala,231.71
13183,2022Q4,Yksiöt,3128.5,3,33270,Epilä,Tampere,84,17.38,Epilä,180.01
13279,2022Q4,Yksiöt,2485.57,2,33300,Rahola,Tampere,72,17.38,Rahola,143.01
13375,2022Q4,Yksiöt,2296.6,.,33310,Tesoma,Tampere,73,19.29,Tesoma,119.06
13567,2022Q4,Yksiöt,1996.77,70,33340,Haukiluoma-Ikuri,Tampere,43,19.04,Haukiluoma-Ikuri,104.87
13663,2022Q4,Yksiöt,4315.0,6,33400,Luoteis-Tampere,Tampere,233,19.36,Luoteis-Tampere,222.88
13759,2022Q4,Yksiöt,3626.11,5,33410,Lentävänniemi,Tampere,148,17.53,Lentävänniemi,206.85
13951,2022Q4,Yksiöt,3760.0,9,33500,Osmonmäki-Petsamo,Tampere,620,19.62,Osmonmäki-Petsamo,191.64
14143,2022Q4,Yksiöt,3807.01,.,33530,Kissanmaa,Tampere,124,17.56,Kissanmaa,216.8
14239,2022Q4,Yksiöt,4106.0,14,33540,Kaleva,Tampere,614,19.61,Kaleva,209.38
14335,2022Q4,Yksiöt,3354.14,2,33560,Takahuhti,Tampere,105,18.0,Takahuhti,186.34
14431,2022Q4,Yksiöt,2824.0,8,33580,Atala-Linnainmaa,Tampere,208,19.53,Atala-Linnainmaa,144.6
14527,2022Q4,Yksiöt,2879.0,7,33710,Kaukajärvi,Tampere,230,17.74,Kaukajärvi,162.29
14623,2022Q4,Yksiöt,2856.0,10,33720,Hervanta,Tampere,946,17.99,Hervanta,158.75
14719,2022Q4,Yksiöt,2273.0,6,33800,Nekala,Tampere,522,20.04,Nekala,113.42
14815,2022Q4,Yksiöt,3033.56,3,33820,Koivistonkylä,Tampere,47,16.78,Koivistonkylä,180.78
15007,2022Q4,Yksiöt,3926.0,7,33900,Härmälä-Rantaperkiö,Tampere,484,20.14,Härmälä-Rantaperkiö,194.94
15102,2022Q4,Yksiöt,8631.0,20,00100,Helsinkikeskusta-Etu-Töölö,Helsinki,741,29.48,HelsinkiKeskusta-Etu-Töölö,292.77
